CODE,ons_region_id,constituency_name,county_name,region_name,country_name,constituency_type,mp_firstname,mp_surname,mp_gender,result,first_party,second_party
E14000981,E12000006,Suffolk Coastal,Suffolk,East,England,County,Thérèse,Coffey,Female,Con hold,Con,Lab
E14000982,E12000001,Sunderland Central,Tyne and Wear,North East,England,Borough,Julie,Elliott,Female,Lab hold,Lab,Con
E14000983,E12000008,Surrey Heath,Surrey,South East,England,County,Michael,Gove,Male,Con hold,Con,LD
E14000984,E12000007,Sutton and Cheam,London,London,England,Borough,Paul,Scully,Male,Con hold,Con,LD
E14000985,E12000005,Sutton Coldfield,West Midlands,West Midlands,England,Borough,Andrew,Mitchell,Male,Con hold,Con,Lab
W07000048,W92000004,Swansea East,West Glamorgan,Wales,Wales,Borough,Carolyn,Harris,Female,Lab hold,Lab,Con
W07000047,W92000004,Swansea West,West Glamorgan,Wales,Wales,Borough,Geraint,Davies,Male,Lab hold,Lab,Con
E14000986,E12000005,Tamworth,Staffordshire,West Midlands,England,County,Christopher,Pincher,Male,Con hold,Con,Lab
E14000987,E12000002,Tatton,Cheshire,North West,England,County,Esther,McVey,Female,Con hold,Con,Lab
E14000988,E12000009,Taunton Deane,Somerset,South West,England,County,Rebecca,Pow,Female,Con hold,Con,LD
E14000989,E12000005,Telford,Shropshire,West Midlands,England,Borough,Lucy,Allan,Female,Con hold,Con,Lab
E14000990,E12000009,Tewkesbury,Gloucestershire,South West,England,County,Laurence,Robertson,Male,Con hold,Con,LD
E14000991,E12000009,The Cotswolds,Gloucestershire,South West,England,County,Geoffrey,Clifton-Brown,Male,Con hold,Con,LD
E14000992,E12000005,The Wrekin,Shropshire,West Midlands,England,County,Mark,Pritchard,Male,Con hold,Con,Lab
E14000993,E12000003,Thirsk and Malton,North Yorkshire,Yorkshire and The Humber,England,County,Kevin,Hollinrake,Male,Con hold,Con,Lab
E14000994,E12000009,Thornbury and Yate,Avon,South West,England,County,Luke,Hall,Male,Con hold,Con,LD
E14000995,E12000006,Thurrock,Essex,East,England,Borough,Jacqueline,Doyle-Price,Female,Con hold,Con,Lab
E14000996,E12000009,Tiverton and Honiton,Devon,South West,England,County,Neil,Parish,Male,Con hold,Con,Lab
E14000997,E12000008,Tonbridge and Malling,Kent,South East,England,County,Thomas,Tugendhat,Male,Con hold,Con,LD
E14000998,E12000007,Tooting,London,London,England,Borough,Rosena,Allin-Khan,Female,Lab hold,Lab,Con
E14000999,E12000009,Torbay,Devon,South West,England,Borough,Kevin,Foster,Male,Con hold,Con,LD
W07000053,W92000004,Torfaen,Gwent and Mid Glamorgan,Wales,Wales,County,Nick,Thomas-Symonds,Male,Lab hold,Lab,Con
E14001000,E12000009,Torridge and West Devon,Devon,South West,England,County,Geoffrey,Cox,Male,Con hold,Con,LD
E14001001,E12000009,Totnes,Devon,South West,England,County,Anthony,Mangnall,Male,Con hold,Con,LD
E14001002,E12000007,Tottenham,London,London,England,Borough,David,Lammy,Male,Lab hold,Lab,Con
E14001003,E12000009,Truro and Falmouth,Cornwall,South West,England,County,Cherilyn,Mackrory,Female,Con hold,Con,Lab
